RegionID,SizeRank,RegionName,RegionType,StateName,State,Metro,StateCodeFIPS,MunicipalCodeFIPS,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30
3101,0,Los Angeles County,county,CA,CA,"Los Angeles-Long Beach-Anaheim, CA",06,037,1705.3795595320528,1717.6790489085663,1733.8566835449428,1748.9551964380378,1765.3455715761907,1776.1658180648167,1789.1466412718837,1798.0936200627107,1810.8116671493137,1815.3083459636605,1822.281094329351,1828.8910969717047,1840.2967713361768,1852.5654352200754,1866.808426180763,1878.5493671824413,1891.6913374304875,1901.8650484256734,1914.7791750180756,1922.0007985995444,1928.0327745517297,1929.746140283178,1930.5966916029179,1935.1774690944942,1949.3923866640096,1966.5026821830475,1987.0249676188473,1999.5813977320113,2014.7684495126382,2024.0158600987215,2035.8290336116995,2041.2448028957915,2046.868447584356,2048.432835612437,2052.5333152311296,2057.8394854958547,2068.1247817114136,2082.508280180644,2092.818423201396,2102.8792616585365,2111.3134418995733,2124.8866433284347,2136.6787518452984,2146.601218647198,2150.5957288060135,2154.1380388576613,2158.994496167422,2164.405551672334,2170.219098970195,2174.3765634294114,2187.8315962110496,2200.0824360613847,2214.1393067705376,2223.342772432585,2231.3782044577856,2236.4374996965284,2239.947192177944,2240.9375847866495,2242.794946549371,2244.81984053404,2251.044782141165,2255.1336383569114,2255.5346971872737,2246.543059619115,2238.6253713807405,2234.396206281285,2235.7057757565535,2234.2361234440605,2228.7493377118476,2224.025112589972,2221.5984130389256,2219.5118020662276,2225.6184041124316,2232.955865200195,2244.391113313512,2254.2282620468136,2271.353911274281,2301.680667343569,2339.021693706283,2381.7685013996534,2413.8133725177345,2435.3074237463225,2446.348172560819,2463.17271535277,2481.5515723904277,2507.38010958844,2530.1111550693363,2556.7885229648614,2578.769851763476,2599.0017324290297,2618.644570915965,2634.56206088593,2644.5819486495775,2641.8652941170712,2637.6971728401095,2632.82293428952,2635.149042472618,2642.065958329966,2656.331924717261,2666.470506313462,2673.5463035502617,2677.24358678518,2683.2339423926755,2689.2855778928943,2690.644046259802,2687.7975294149287,2679.0958776577354,2673.2454781360643,2676.713981534862,2686.0344341286504,2700.080577059014,2711.403670751848,2723.1016928111403,2732.400706824545,2742.0970396410203,2746.7508865451396,2751.957452402501,2750.5874837442416,2749.3624863888044,2744.9013108605754,2769.985890655425,2793.794763801494,2817.7464834583607,2812.126890914815,2813.3214757824776,2814.1631513835046,2817.355734921651,2818.2587920723586,2819.2551286667735,2817.011764306004,2809.350346963718
139,1,Cook County,county,IL,IL,"Chicago-Naperville-Elgin, IL-IN-WI",17,031,1395.982082516005,1404.7225901748561,1416.134837524338,1424.9184701192287,1435.2889352476054,1445.4657198375558,1450.8342719434147,1453.8038758814625,1448.5834201581306,1440.716181786879,1431.5551793816478,1430.9594892716805,1439.9275789854164,1451.8056972574504,1463.7911448249154,1471.5439873373798,1479.511626018835,1488.2725934413982,1495.3503658299908,1500.0681996963294,1493.249440395766,1482.3477420973884,1467.9963832629041,1461.6438655962743,1467.5663689137873,1482.9039771953899,1502.0757093857087,1515.8158206523597,1527.0555440234343,1533.212142162084,1535.3448916243071,1530.454313885205,1523.0518310499983,1510.2468446227217,1501.1883275638932,1498.6568698746055,1507.8068255636508,1521.5083400530827,1534.0431780985757,1544.6833435030248,1554.971726563774,1565.083854454257,1570.4679709277775,1567.7509356768917,1555.0358697936829,1541.3660066275907,1531.9809392271102,1532.7299234094908,1541.8602294046507,1553.4455010514532,1570.5823986046066,1584.6350011834072,1597.6011931871049,1604.720039787803,1607.6151483602573,1608.0069797963126,1602.2924412610398,1594.9135573366764,1585.7447651204805,1579.8539328941724,1588.6361790789476,1601.1331135152382,1616.5945950465898,1617.31548942049,1615.544282994235,1612.0406050609342,1609.4192225515337,1600.876524358858,1581.7935286993604,1555.4642928313656,1532.611189466402,1523.8023597475992,1525.2522516673187,1537.7484280121005,1556.0108702479595,1584.1334729398825,1613.2549728977879,1639.6263938323932,1658.376238126735,1669.7386504075976,1673.6108856681753,1670.42076536594,1667.1722179345672,1672.0124171341015,1686.3822041831736,1704.148471199773,1725.5821081339766,1749.6352971296265,1776.2869273397944,1796.9153945895325,1813.0666956849745,1819.4260074982628,1818.1129486480806,1811.9948798986923,1806.6823358288864,1808.1881260383682,1816.5870764633123,1831.5864484600183,1850.0300212062273,1870.1010905030766,1892.2027237503019,1909.8738085768307,1920.5871527525467,1924.7732145821467,1918.5907355391023,1907.4949801376467,1897.8463141047216,1898.686601358955,1909.2188247671088,1925.645229785085,1942.8086037688342,1963.5954271989156,1981.2107871084877,1997.2398596154708,2003.9096714475247,2004.7855606383814,1999.962205796901,1996.1725764087582,1994.5665999358366,1999.3581480513064,2009.48266799973,2028.7864473660065,2050.358934012865,2074.1054893655028,2095.414905785412,2115.2202241675827,2126.476864497506,2129.9093925865955,2127.0730850075474,2119.449253064891,2113.4076163972463
1090,2,Harris County,county,TX,TX,"Houston-The Woodlands-Sugar Land, TX",48,201,1171.9445532001112,1174.4170267978618,1179.5622064073407,1190.512854037733,1200.5509139675548,1209.4828312836153,1209.368522829156,1210.7212267794935,1208.9190251393945,1206.96929079118,1203.8695351260608,1201.3138604778921,1202.042107495749,1203.6200203521098,1209.7451303215275,1215.3203157806129,1218.6899436278818,1219.1565977196026,1217.800741772864,1215.2078832654074,1210.4552722628162,1207.3587125556212,1202.1123256912217,1199.2701681468252,1199.4488814777976,1207.4621037335512,1216.4575869524715,1220.7950904694812,1227.640023331315,1228.6401294328573,1229.3727100974697,1224.368992633276,1230.801002966451,1239.1852141933393,1251.1219106023832,1258.1628399690946,1260.3614035036812,1265.7398717683745,1266.5644767275303,1274.6859904129683,1276.9379112530467,1282.0592526529897,1281.6159401338164,1279.6379618379701,1275.5404007907653,1275.7484987344733,1277.9637464821046,1278.3299198628488,1278.0465316391283,1275.231887334065,1281.2471568873962,1286.6211231167315,1296.7890114804381,1303.4900294027561,1307.6692306917193,1307.7519089617313,1304.0749954016635,1302.4986214108076,1300.7611352110987,1303.757145506685,1306.7263475751479,1313.2417531406916,1319.066366420053,1315.399801687339,1309.374078011327,1303.7035895949853,1307.6081414940902,1311.0646216218777,1310.708650245775,1311.3250579011842,1311.0832861321596,1310.8973389048833,1313.1571773702074,1315.7498075176077,1323.8293327389795,1336.0990732691803,1356.3501647077655,1382.8664053261093,1407.4437906789942,1429.761052010526,1442.051814610842,1448.5657503178963,1451.231450306281,1453.9331601146669,1459.3430460972015,1468.9367544888805,1479.2625047313309,1490.5500677238845,1501.094043721556,1515.2775103369986,1527.3540631741555,1534.286588071008,1531.9904592519958,1525.4450927611722,1518.0836253176806,1516.550561165236,1521.4507407648828,1529.4996794689473,1540.4154976060136,1545.1287592001947,1552.9656528383325,1559.2680172283317,1565.0614422697133,1566.208040287233,1561.9630149122709,1557.0923443136553,1551.957537807435,1551.3955863186009,1554.4028753937314,1559.434206169953,1562.6733828549852,1569.0896164497112,1576.1300922662717,1583.2909700367018,1586.5613987473928,1589.732488441757,1590.4541090796054,1589.6262343938877,1585.160156973796,1583.2704031728179,1584.535796577153,1590.1843522482575,1599.5275704819226,1604.4769648987585,1604.9907562183685,1596.3306124814142,1595.7550349423163,1594.5598332576178,1597.1478712444648,1590.5058240834142,1583.6355196389043
2402,3,Maricopa County,county,AZ,AZ,"Phoenix-Mesa-Chandler, AZ",04,013,922.131987819745,936.9620552380755,943.989276942259,957.0307973500154,957.4617126340524,965.4484610054885,965.4948654637822,966.7699736449682,969.5561418208312,972.037393286162,975.6639263724015,977.3007211348458,983.0844690480048,987.6030332406793,994.4688326824099,1000.9626543484034,1009.0328401846235,1016.1319818884689,1020.1301229015389,1022.1284759929379,1023.1938221894915,1022.9939457419185,1024.3681035935965,1024.8890062973867,1031.439225212356,1039.6278156440733,1051.3840374256047,1060.9065402368533,1070.6231183045834,1076.7239689970654,1081.462046629148,1083.4817409904213,1086.4568788647653,1088.108709846787,1091.0705317420022,1092.8969474871478,1097.7036333189296,1103.68096773013,1115.9694882680024,1129.5387812261354,1140.893043892958,1148.8248605723113,1155.8149644734012,1161.5262439901962,1167.081494108096,1170.6805500500438,1176.203390240366,1181.1680697266652,1184.914650733463,1193.8352087927274,1204.5170079419293,1220.0664816600067,1231.4708732017923,1242.0329640155217,1249.747202565775,1256.2700795820829,1260.4140864805427,1263.5233321613414,1268.6058050548704,1276.563128075272,1285.805967307276,1295.9351205042303,1302.1959127314421,1301.870922711225,1300.0830070341838,1302.9860124416007,1316.7221915436746,1332.9130734718733,1348.6955376812,1362.1510176980696,1374.6696462853433,1384.7293757054751,1396.8030513623253,1410.1135424171205,1432.3135030668022,1460.4711603511787,1499.6833885627723,1544.7781157289385,1594.0504973851284,1638.1672201808758,1670.327561665162,1690.6854649973109,1701.6432651006226,1710.3500549771447,1718.6934785298436,1729.512003897714,1742.9697340725645,1754.196843997079,1761.7957999973708,1767.7159611935376,1773.1383531678075,1773.170739394996,1764.3318208975256,1751.7825656753305,1741.2479486890184,1736.5461295244552,1734.0973128606963,1739.3790028838696,1752.5755577578734,1759.192878350813,1762.826676103259,1759.4824982053622,1764.2267546848148,1763.7671975820704,1760.2169481257413,1750.1841348547034,1740.91987404986,1734.0983895624909,1737.3926516905742,1746.1963535019554,1755.9825213595404,1763.0617458330578,1767.1450783977264,1769.2673473328548,1770.0424036690792,1768.4545716769596,1765.3182946975194,1756.2100164575556,1748.3662116420035,1742.4156051585628,1746.645195269037,1756.5958671523308,1766.064444476688,1769.316511589607,1766.0801332585015,1763.2300553032237,1760.232281664172,1755.398077046293,1751.2610188674626,1744.4528433189398,1736.1394456107437
2841,4,San Diego County,county,CA,CA,"San Diego-Chula Vista-Carlsbad, CA",06,073,1629.3852319907526,1640.04387467854,1648.7415287985614,1652.5249715270038,1663.3119049182,1671.5276370178806,1687.0014427990611,1697.7153091059806,1706.298931062706,1709.6543600784237,1708.1711044000112,1713.9615593296476,1719.8176653848839,1728.520432800814,1737.4148876710944,1747.5214778995057,1760.4560294557398,1775.3612287678427,1787.1300411191241,1794.5792617687002,1797.4158246328902,1799.7434694144138,1800.0768851615453,1802.405521791793,1807.980035436944,1823.8320247367303,1842.5921295186547,1861.4636605827677,1876.5897630325317,1887.7028096862807,1899.0636917220509,1905.093490706681,1907.5195947377524,1906.913056738748,1906.7686956007913,1908.8971129103431,1918.7194295810627,1930.045015124772,1944.407432095819,1955.5970125745898,1971.9640347936534,1983.199529226313,1994.354489541658,2001.236427149718,2005.6145018955008,2004.642078271722,1998.616917564552,2000.9124263562671,2005.537381354403,2012.9449699016116,2019.0909968947315,2028.9447497384099,2042.446648984346,2054.58495710864,2066.3235552483998,2073.4097093412206,2074.536411274244,2073.8809808948754,2074.572422995733,2078.2339727860954,2083.629504276172,2087.983542262082,2091.8765049406074,2083.432131369201,2076.81933922811,2075.4571408329593,2086.468509357236,2095.9422129559384,2108.61353827369,2124.1373307967383,2138.7559103815765,2148.9152138863474,2154.9432328425023,2165.2177474973923,2181.076623842572,2209.547854096857,2245.3896708553266,2284.4447437948443,2334.135516505502,2386.9184668676394,2441.355996955835,2473.3535180931594,2494.349702247536,2508.024749389007,2527.1368634579694,2553.220935811232,2583.9840326520234,2626.2715164785,2669.7548921061793,2715.1650655486546,2746.782874730455,2772.688556303664,2776.860125693561,2770.3612291222025,2751.032929726088,2741.425158221147,2735.9224058972745,2743.9908018729966,2768.180688386019,2796.8946918532183,2829.403774548674,2849.8663580859907,2866.8142067095328,2873.1749181981872,2870.255927192637,2856.837805610862,2833.748927516905,2815.342204369882,2808.267793072793,2818.69696416225,2836.3826890023556,2855.7335464862444,2872.878131029715,2887.6120419651147,2898.4898645908356,2899.7495075870324,2898.585693669831,2896.5263176331914,2896.972312976254,2891.065711291967,2894.501666007105,2901.3598564769236,2918.6421347489886,2927.121690585026,2936.3655027489044,2944.664922795415,2949.6132823793587,2955.408082011739,2952.840169790444,2948.8252421139764,2932.8137186776544
1286,5,Orange County,county,CA,CA,"Los Angeles-Long Beach-Anaheim, CA",06,059,1860.4128347940166,1869.2783111760375,1880.827591562746,1896.286263619725,1908.325645602592,1921.0108322438107,1931.3357816373186,1944.2211809280134,1946.2413246770734,1950.8851494301073,1949.208568752761,1953.6329993804748,1958.5578794272858,1966.8373756145797,1972.0555306234846,1981.2090944046768,1995.4683027803635,2013.105000722567,2022.3109293471925,2024.678796820926,2026.4223389592717,2023.4717491184526,2028.8066559374224,2024.464505935971,2034.7434645434998,2046.7731767452651,2070.6303656397135,2088.1498497807734,2096.239490601368,2106.4729689280784,2112.565193793623,2119.136376594849,2119.9046531653453,2116.728642035273,2120.0844892142322,2121.4032266818735,2132.114495598754,2136.673345373501,2148.0984941766906,2155.256465788466,2163.171236734143,2170.55305535441,2175.477427725203,2177.6363739837843,2178.4813955330374,2181.6561441387894,2186.1262536956674,2187.0718957704516,2189.8130680528598,2195.786788296219,2206.938009548782,2212.8258795011184,2224.520799902039,2233.3126580046783,2245.015745057996,2247.6471605697834,2248.3753351374944,2248.2973713810625,2252.8629588031013,2254.944192607679,2263.0779607615,2269.1989470668714,2274.3404441859307,2259.752681680748,2245.3115016064103,2235.56633707827,,2248.778835728971,2262.316410563815,2276.6675235619036,2286.679851505922,2294.4192375176262,2307.761761713533,2327.3751534687362,2350.482191708392,2370.5904084713247,2398.4393311681906,2444.399339982269,2514.7885406629503,,2674.2433056347654,2715.2347618522845,2737.1680496088584,2748.1841776827223,2766.058824925451,2784.5738863937067,2812.1074886169345,2846.6423430774194,2876.5042828395112,2905.663551673368,2923.632186449937,2933.056797273454,2927.5924359510423,2914.2397696765906,2905.503032060995,2890.2744474420797,2881.159865043507,2876.1842547334963,2888.1341837640452,2901.7292121124087,2918.38592040231,2937.122684881165,2969.806866067397,2996.2559542495233,3009.4520219899578,3006.70275423275,2996.10041677992,2995.2947424815243,2994.8231533968146,3001.0189634346684,3000.7163266842886,3006.4591703422807,3016.1228397631457,3034.514324354975,3054.4877926351023,3070.0441379804456,3075.4741809178918,3075.164937400308,3068.6549666284213,3063.1482647079915,3071.7310121881674,3087.3801435154473,3109.04862603516,3119.7562461194248,3128.8203811423778,3139.65930747249,3142.0695166699156,3150.618050361748,3154.432847832451,3155.5188623691984,3154.0251408181007
581,6,Kings County,county,NY,NY,"New York-Newark-Jersey City, NY-NJ-PA",36,047,2282.4089289726803,2298.892164575789,2323.6463133279512,2343.452940503132,2366.1273776759704,2396.115087384153,2412.9362023160515,2422.6070974714753,2437.100919965866,2446.361673592946,2438.948511302404,2414.2627893922204,2403.0412087910104,2404.7379677823164,2420.234992820392,2426.7681063078426,2437.61879031245,2449.241064483163,2467.5716343038503,2483.297628147196,2489.6671189280187,2486.6579886804643,2488.550490728028,2475.8824388860517,2465.416985728049,2454.381864294841,2458.6989261873578,2473.8820420671145,2487.1447595866084,2503.6273086710444,2520.4863335385585,2532.6061118843522,2532.741273537145,2515.695641152451,2496.8760572126753,2484.4502345751516,2483.4153389666776,2485.0014068430337,2498.012092870167,2516.0594073057846,2535.577234964665,2550.6354820632187,2561.1748018413914,2571.496146023938,2573.5833957655313,2565.3072365418902,2551.1640800278255,2534.126446686674,2535.779341698939,2549.2598274241404,2576.3307624043136,2594.90102637568,2619.1783397574254,2634.8843272323347,2659.813436845779,2675.2908921267517,2690.0243089390337,2692.9035738295747,2689.877727293104,2682.279532464981,2681.866937307392,2690.5581019392507,2706.491485897434,2699.7134272633307,2681.22778045077,2649.6854747654525,2627.0201969224013,2590.389132339266,2543.5052258979154,2498.113451330912,2464.7919104964626,2446.2110034472553,2439.5233349695727,2448.2596029441934,2469.483157329715,2501.1800162329605,2540.022405831778,2592.8343926402267,2649.7160703217373,2704.7527000780497,2750.999199907913,2776.389847659909,2797.3202144148813,2808.2148944299374,2840.318489776624,2876.8287505713856,2927.3101425172567,2970.8170523343006,3031.41423926597,3093.9675553662178,3154.5442438952587,3193.3294251221255,3203.9201990793304,3194.953235562218,3155.861940930098,3123.730388874521,3116.0150996342286,3131.0981280168726,3156.247301635434,3185.149242280841,3221.375871191368,3261.2640029053005,3290.6259318238895,3308.1564296890947,3313.852189656204,3296.090068372292,3260.9224513407853,3234.609655813783,3232.9774227808807,3258.532401737327,3288.109985267088,3316.8795396726227,3351.689831138572,3387.3677930323634,3413.371147904924,3418.2623331532236,3404.2751875488316,3382.917943438829,3356.6822003494053,3330.096272339577,3321.65413704254,3346.0432644762523,3391.1706493045453,3440.340155311408,3474.986518131998,3518.84211834522,3551.2700910784147,3576.814379872405,3565.5147678159547,3546.4136322145814,3515.7204956709515
2964,7,Miami-Dade County,county,FL,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",12,086,1598.257312550542,1608.0180755851914,1620.2151783807678,1630.4896539944207,1641.3748313255164,1648.8947464617054,1656.7639140598137,1662.7665501537022,1670.343872253411,1671.7934807210936,1678.8203930325983,1683.6066772301017,1690.641948296865,1693.6365407182034,1695.8125434806468,1696.266757141303,1695.9941312619023,1694.406111428824,1694.573384242262,1691.1702750180436,1690.8833837719806,1688.556176277237,1686.6005203122381,1680.6044781959674,1685.179040334138,1690.5368713020964,1701.7561676691437,1703.1727851801709,1706.5516020637613,1707.6711108886195,1708.5917637632156,1711.3652304427371,1713.8945060457752,1717.8185136943764,1717.114391805763,1718.0096299199618,1720.419286451771,1725.2702810206756,1730.3147849390573,1735.6331172622006,1738.9611251748677,1743.796782025957,1747.4429271184215,1753.5169288132681,1756.7411885247145,1761.3505536666978,1762.6260749798446,1764.5180506455897,1764.9831127992736,1763.365854779091,1766.9318708156281,1771.2199677691399,1779.871678157302,1783.3539356056483,1783.8613797707208,1784.6028851686376,1785.8570245801588,1795.05295688446,1805.5291186769432,1814.9482075425433,1816.6196986256596,1819.2601160914458,1818.649518348532,1810.465834965717,1796.9647788718075,1791.0709594429982,1793.6217129044478,1794.400146291471,1791.3363260175713,1795.5995744874162,1809.7216167041788,1827.8484636013313,1851.036805594359,1885.3203533990281,1922.2604245582847,1962.623273226389,2005.458592740246,2060.8396982532972,2128.0341003265025,2189.806231214477,2244.8074884564826,2286.9547053169804,2330.725088579972,2381.3693474416336,2427.544962073097,2484.578266924123,2536.8515273353723,2596.879488773184,2643.074146501784,2677.482864467649,2700.622198949613,2709.969549513053,2717.899507073042,2713.9418529098066,2711.028652916574,2710.2565643708313,2714.3543082808083,2722.009148811086,2733.1574167310564,2744.2158326767676,2749.221580259173,2747.1937089914395,2743.2603864030807,2738.8392174042924,2734.8423539429305,2735.873560365681,2738.637912975377,2737.0088459862345,2738.6821527515813,2749.916984899051,2769.2314102652945,2785.608813484133,2794.6671793679343,2797.731405779895,2799.030573068237,2797.713462229897,2799.32662038275,2799.0133855199815,2797.108153478699,2797.465827225523,2804.9822747607045,2815.6227845606018,2823.660463898432,2826.3041859929067,2830.0448160031992,2829.2421107332643,2825.6280391525543,2813.8727141864247,2804.984920656921,2798.4940078457066,2797.622432130444
978,8,Dallas County,county,TX,TX,"Dallas-Fort Worth-Arlington, TX",48,113,1030.7744275093494,1032.4958823510567,1040.0631099340412,1054.858555267379,1067.5630773083144,1076.2348772250336,1083.7713361528895,1087.0422092334022,1089.8752145661151,1089.6912993046478,1093.673621199861,1096.1795863271423,1100.100723988571,1105.9468723005957,1113.6383269581568,1124.3963981764862,1131.7899025244524,1142.2368295324452,1145.1425733229546,1148.745265551909,1147.430417348941,1154.1317200579551,1156.3030695636573,1161.025369313164,1167.124072882113,1171.6174771592562,1182.8474087551456,1190.4263867116513,1203.9274864881127,1209.9182902848297,1214.5364385605403,1213.7803440943587,1212.9357101017522,1210.2523289817002,1218.5744192369193,1221.7362794643689,1226.284099969336,1231.5177095241372,1234.3354715038993,1237.8726601979179,1237.787642726883,1249.8243572083413,1255.9747506674253,1259.720777848795,1252.2897313972223,1253.999323392307,1255.9329890314098,1260.0092136903288,1264.7980243968175,1266.7694760686306,1276.357901601557,1283.4645750247198,1292.0514134764558,1303.3967912080643,1306.1690223219075,1309.358548113026,1308.0607708521375,1307.11768788172,1302.842574075585,1294.8232083044513,1297.7972430039943,1303.551786668576,1311.5098982291638,1309.4275260949848,1305.5615976353754,1303.453214948257,1304.3732912918263,1306.2758679205554,1306.8115888997029,1308.4992405584537,1307.7766771220977,1310.9512379250496,1315.607979900206,1327.836140430251,1337.0907863702157,1354.8543895068015,1376.6689379868826,1409.6851839107387,1443.5332877418575,1474.1601721266093,1495.8803859242987,1506.6936098140861,1514.5194873392477,1522.1071151288625,1534.3170886729556,1550.0951004824021,1562.7535477037334,1582.3966208569632,1604.159201485739,1637.8382815997916,1659.1201881344643,1666.1733398262968,1657.7080839966925,1640.6506987498676,1628.4738465530452,1618.4993819436045,1616.8086130587687,1618.4785520880732,1628.0585646489053,1634.83296456025,1642.9305301593072,1647.6969420624505,1654.2798021859512,1653.726255617459,1647.6278493320203,1637.9563830564407,1629.5271275110806,1621.1480106715253,1617.9421830957936,1617.7013775487962,1618.9324120430044,1623.4689280212192,1629.4833664376208,1639.0276708919898,1645.7532410469328,1647.7568146651597,1642.4137378242644,1636.1652955629727,1631.3278560392116,1628.2805932024096,1625.943487854064,1629.1958995870812,1636.7097498636151,1647.8374963818262,1651.3556846146516,1653.3619023144852,1650.1905658672538,1645.952911121968,1641.5052813131908,1637.0190750593201,1635.4234716063747
2832,9,Riverside County,county,CA,CA,"Riverside-San Bernardino-Ontario, CA",06,065,1332.8849582813243,1336.3085500565685,1339.4422829690147,1346.987906333698,1353.231027917591,1362.8536024224534,1372.7467089831148,1378.705200950572,1385.2047698181386,1391.783640369535,1397.0359265462723,1401.785057217855,1401.5418642760567,1410.5500025437184,1412.4444856888551,1413.4562288749157,1417.0076789774366,1422.2657796974886,1434.1016802695385,1438.5361685464782,1451.4739064121668,1453.0872650748126,1460.8520293733795,1458.8434440360631,1474.7848799103465,1484.1932626832518,1496.8400838704072,1506.5586437582867,1515.940029939626,1526.6921284414968,1533.093402890774,1544.806456691192,1551.8922939749712,1557.656140721934,1561.6202783587535,1562.6840828956203,1570.1322890819192,1580.3806773074814,1593.2999627456604,1597.3186481580112,1599.3715329754082,1606.5363410262307,1617.2576764744836,1628.1913427652562,1637.6407432408853,1647.995002100556,1654.3822776555746,1660.3894734301552,1661.142087935505,1662.220949531228,1670.5437265600124,1681.1171815468556,1693.0460203641144,1699.1139384427318,1709.4526477764275,1719.4204517133717,1724.3560918532858,1728.3717960371955,1731.1643846788734,1736.6349683285184,1740.2587447593623,1747.011862300859,1750.9464281641049,1748.7271717574513,1744.3710294425637,1755.2507040383769,1776.4169331158967,1807.838558381573,1833.807923007144,1860.0278499921096,1882.0781586563237,1902.6053449757612,1925.376585863219,1946.643648272222,1972.923040974259,1988.8502121800009,2025.2402288856904,2062.7088184410577,2115.6772677240056,2158.594732499548,2197.9300496094693,2220.1244458203637,2239.1193310413605,2242.6297477149283,2264.53548241209,2278.191084253251,2310.2083109443215,2333.8890312560648,2355.456642963215,2373.2720744458525,2385.895388519176,2394.5161445193303,2400.089918336215,2394.6328956795223,2383.7143527843864,2375.2903736130365,2375.91383696658,2386.137420865616,2396.2475411367245,2406.5096842078756,2412.1916801532275,2410.582623628958,2413.2569806879374,2423.036804859325,2429.5784918342947,2442.890868059759,2436.133984148248,2435.7024826755837,2426.2660765574424,2442.5909495830397,2454.75641239075,2467.6306307270384,2474.8331520257525,2477.6865170788806,2490.982899790276,2497.326316064194,2513.767759286334,2512.3459840271257,2509.671529803902,2515.434158108232,2532.652988801093,2543.9601696835352,2543.1363964018556,2540.572699116223,2548.1425496920683,2551.365206347749,2550.011368375451,2550.0240743652703,2554.0741839795937,2553.798879119728,2553.5832436669552
