state,county,year,median_household_income,annual_rent
29,077,2020,47053,874.9521160190399
29,095,2020,56960,1001.7816405819526
29,099,2020,67606,1028.978884922392
29,165,2020,82448,1186.5081077172342
51,179,2020,112247,1621.5968022116765
51,199,2020,93356,1351.7156884518843
51,510,2020,102227,1886.4924142911323
51,540,2020,59598,1452.0299393120313
51,600,2020,109708,1995.2472866495666
51,610,2020,146922,2044.3060744491202
51,630,2020,69528,1431.7944841036406
51,680,2020,49201,900.1553843152604
51,700,2020,54511,1042.2341410906272
51,730,2020,43029,829.1469543675918
51,740,2020,53213,1076.9391432792186
51,770,2020,45664,842.9887228188301
51,800,2020,79899,1278.5289333405192
51,810,2020,78136,1384.979169361498
53,005,2020,72046,1269.6314835234402
53,011,2020,77184,1463.2400053216495
53,021,2020,66904,1317.2585552901153
53,025,2020,59165,1118.883785226311
53,029,2020,70765,1414.3068123917162
53,033,2020,99158,1864.9328387407916
53,035,2020,78969,1523.5798680116407
37,063,2020,62812,1274.7603348592925
37,081,2020,54794,982.2234293566856
37,101,2020,61806,1332.688220377741
37,119,2020,69240,1318.9736120815598
37,179,2020,82557,1500.2704413168167
34,003,2020,104623,2056.400213688055
34,015,2020,89056,1730.1617197057997
34,021,2020,83306,1790.7686261925255
34,027,2020,117298,2133.1605979365545
34,039,2020,82644,1876.507143395619
18,003,2020,57104,805.0967876469954
18,097,2020,51219,961.3644172303949
18,127,2020,72255,1032.4633721404532
25,001,2020,76863,1831.2165894317313
25,013,2020,57623,1236.3378708558544
39,049,2020,62352,1102.7331222790242
39,061,2020,59190,1099.8772096989817
05,119,2020,52930,862.7953130959014
05,125,2020,66876,1110.0088921725035
05,131,2020,47878,731.2031034160805
05,143,2020,52380,1079.1496961461912
09,003,2020,76259,1255.927937756056
09,005,2020,81590,1132.8144084700198
09,009,2020,71370,1293.0627299419968
09,011,2020,75831,1187.2952561068296
11,001,2020,90842,2122.360398961804
02,020,2020,84813,1246.9987781507646
08,013,2020,87476,1939.9593196876392
08,014,2020,101206,1696.2575069671304
29,183,2020,87644,1246.448266505729
29,189,2020,68661,1033.5413425577153
12,001,2020,50089,1203.467977791913
12,009,2020,59359,1356.3454880440097
12,015,2020,52724,1344.9657147991168
12,019,2020,68657,1332.1344435337558
12,021,2020,70217,1778.6481617953314
12,033,2020,53023,1108.1851746482096
12,035,2020,57536,1375.1485460951874
12,053,2020,50280,1177.1881244044398
12,057,2020,60566,1401.3010811524193
12,069,2020,55792,1427.5860913694014
12,071,2020,59608,1320.9899715275335
12,081,2020,59963,1448.728060340851
12,085,2020,65821,1502.2989638310291
12,086,2020,53975,1805.4632288627147
12,089,2020,72998,1420.5740674791978
12,091,2020,64373,1368.4740819493966
12,095,2020,61416,1436.2501934573593
12,097,2020,55538,1506.4136403074165
12,099,2020,65015,1691.9138516706062
12,101,2020,53431,1352.5878090745512
12,103,2020,56419,1364.415987391768
53,053,2020,76438,1462.2449041056652
53,061,2020,89273,1647.6468153391115
53,067,2020,75867,1507.7399188886732
53,073,2020,65420,1477.4275362495516
54,011,2020,41472,743.4561485357073
54,039,2020,47122,812.6546176955127
54,061,2020,54198,1114.593318657507
08,035,2020,121393,1752.188792181113
08,041,2020,71517,1354.495474587273
08,059,2020,87793,1530.52032290493
08,069,2020,76366,1464.4332602296608
08,077,2020,57157,1140.2178575091602
10,003,2020,75275,1298.8878355960296
12,109,2020,83803,1579.4954408791207
12,111,2020,55237,1498.306857644373
12,113,2020,70663,1384.2090232390565
12,115,2020,64644,1504.777391384029
12,117,2020,70297,1363.1767398176046
12,127,2020,52407,1226.260506735032
12,131,2020,67390,1552.2313873156893
31,055,2020,66600,1020.8057144648504
12,105,2020,51535,1342.3155217429953
31,109,2020,62464,946.6408631088447
55,059,2020,66595,1139.3617076338362
55,079,2020,52260,1046.0899574507496
55,101,2020,62556,936.5256641680838
55,133,2020,88985,1176.817030347706
55,139,2020,59947,763.806044995798
